line	original_marker	reconciled_disposition	title
554	✓	Completed	**CHOOSER-3: live thumbnails.** **As** a user, **I want** a preview of each desktop, **so that** I recognize it at a glance. **Acceptance:** periodic preview thumbnails — mesh peers publish a small snapshot, local VMs snapshot the framebuffer, external endpoints a cheap probe — graceful protocol/OS-icon fallback; bounded refresh + cache; source→thumbnail plumbing + fallback tested.
555	✓	Completed	**CHOOSER-4: connect flow (protocol picker + display options).** **As** a user, **I want** to control how I connect, **so that** it fits the source. **Acceptance:** on connect, always-ask the protocol when several are offered; fullscreen-or-windowed choice; multi-monitor span/single choice; route to `mde-vdi-rdp`/`-vnc`/`-spice` via a `vdi.rs` `ConnectRequest`; request-construction folds tested.
556	✓	Completed	**CHOOSER-5: `mde-vdi-spice` client crate (Spice→egui).** **As** a user, **I want** native Spice for local VMs, **so that** they're fast. **Acceptance:** a first-class Spice client rendered egui-native like the RDP/VNC crates; airgap-verify the Spice crate (add+vendor, honest VNC-fallback note if unfetchable); connects to a KVM VM's Spice console; headless: connect→a frame arrives. New workspace-member crate.
557	✓	Completed	**CHOOSER-6: auth.** **As** a user, **I want** seamless mesh login + secure external creds, **so that** connecting is easy + safe. **Acceptance:** mesh-peer desktops authenticate with the node's mesh identity (SSO, no prompt); external RDP/VNC/Spice creds sealed in the secret store (reuse FILEMGR-6 seal/derive), prompted once; never a plaintext credential on disk/logs; seal/read + SSO path tested. _(2026-07-03: landed `ec718b2` — auth.rs model + SSO (reuses `discovery::local_peer`, no prompt) + prompt-once UI + `CredentialStore` seal seam + log-safety (`Secret` redacts, no `Display`; no plaintext to Debug/logs), 221t, reachable (wired into chooser.rs/vdi.rs). **§6-GATED FOLLOW-ON (mesh tier, NOT desktop):** the *live* external-cred seal into the mesh store — FILEMGR-6's `SecretStore` (Argon2id+XChaCha20) lives inside the `mackesd` daemon behind `async-services`, which the desktop shell must not link (§6); `MeshCredentialStore` honestly returns `SealOutcome::Gated` today. Needs a **mesh-side desktop-cred sealing worker** to back the seam so external creds persist across sessions — tracked here for a mesh-tier unit.)_
558	✓	Completed	**CHOOSER-7: local-KVM lifecycle from cards.** **As** a user, **I want** to power local VMs from the Chooser, **so that** a stopped desktop is one click away. **Acceptance:** start/stop/pause a discovered local VM + open its console, driving the mackesd `vm_lifecycle` worker; the card reflects live power state; action dispatch + state reflection tested; honest-gated where no local hypervisor.
559	✓	Completed	**CHOOSER-8: card actions + find + states.** **As** a user, **I want** to manage + find desktops, **so that** the grid scales. **Acceptance:** per-card context menu (connect, favorite/pin, edit, remove manual, KVM power); search + filter (node/protocol/status/OS) + sort; offline/unreachable sources greyed with a reason + retry, never a blocking probe; filter/sort + the non-blocking offline model tested.
560	✓	Completed	**CHOOSER-9: mesh-synced favorites/recents/manual sources.** **As** an operator, **I want** my desktop list to follow me, **so that** every seat is the same. **Acceptance:** favorites, recents, and manual sources bound to the mesh identity + synced via Syncthing (like bookmarks); two-seat test: pin at one seat → visible at another. §6 mesh-side.
565	✓	Completed	**MV-1: `KVM_SERVICES` catalog + per-node service set.** **As** a node, **I want** the KVM stack (`qemu-kvm`/`libvirt` + sockets, `podman.socket`, NetworkManager, a metrics worker, optional `multipathd`) baked into the one image + a `KVM_SERVICES` catalog (replacing the removed `XCPNG_SERVICES`), **so that** every node carries the libvirt/Podman equivalent of the toolstack. **Acceptance:** the dnf set is in the image; `libvirtd`/`podman.socket` enabled; `KVM_SERVICES` lists the units; KVM modules load.
566	✓	Completed	**MV-2: `mackesd` kvm-host-health worker.** **As** an operator, **I want** a worker publishing `KVM_SERVICES` health to `event/kvm/services` (mirroring the removed xcpng-health), **so that** Datacenter panels show per-node KVM-stack health. **Acceptance:** reports each unit up/down + a host summary; injectable probe; unit-tested.
567	✓	Completed	**MV-3: `mackesd` vm-lifecycle worker over libvirt.** **As** the Datacenter UI, **I want** `mackesd` to create/start/stop/migrate VMs via libvirt (the `xapi`+`xenopsd`+`sm`+`xcp-networkd` equivalent; cloud-hypervisor kept for the VDI desktop fast-path), **so that** the Datacenter interfaces drive KVM. **Acceptance:** a VM is created/started/stopped via the worker; a libvirt storage pool + virtual network are managed; it appears in the mesh map.
568	✓	Completed	**MV-4: `mackesd` container worker over Podman.** **As** the Datacenter UI, **I want** `mackesd` to run/stop Podman containers on a chosen node, **so that** the layer covers containers too. **Acceptance:** a Podman service is launched/stopped via the worker + reachable by peers (behind the host's cert).
569	✓	Completed	**MV-5: No-center scheduler (#5) + historical Cockpit interim console.** **As** the mesh, **I want** desired-state + placement in the existing etcd/Syncthing so any node schedules with no center, with Cockpit (`cockpit-machines`/`cockpit-podman`) as the per-node console, **so that** "no fixed center" is structural. **Acceptance:** a VM/container scheduled from any node lands + survives that node's loss (placed workloads keep running); Cockpit reachable per node. *(MV-5a placement landed `91888d6`; MV-5b failover `7f2d369` landed → MV-5 complete (60 tests). QC-15 2026-07-10 removes Cockpit from the live `node-virt.yml` recipe and KVM health catalog; this entry is now historical replaced-stack evidence.)*
570	✓	Completed	**MV-6: Datacenter/Fleet plane drives KVM — `mde-shell-egui` (egui, `Plane::Fleet`), NOT the retired iced `mde-workbench`.** **As** an operator, **I want** the Datacenter/Instances panels to drive `mackesd`'s libvirt+Podman workers (not xapi), **so that** the UI manages the KVM stack. **Acceptance:** the panel lists nodes' VMs+containers from `event/kvm/services` + the lifecycle workers; create/start/stop works live, rendered through `Style`. *(MV-6 + MV-6b `d68613d`: VMs live-driven + container roster read-only; container lifecycle-drive = follow-up)*
571	!	Obsolete	**MV-7: Adopt-XCP-ng (day-2, optional).** *(session=819545e6, e50b693)* **As** an operator with existing XCP-ng iron, **I want** a day-2 "adopt hypervisor" action that enrolls + drives it via `xe`/tofu (as the live farm does), **so that** existing XCP-ng capacity joins the mesh without being a role. **Acceptance:** an existing XCP-ng host is adopted + serves VMs to the mesh; it is never produced by our installer. **CORE DONE `e50b693`:** the `mackesd adopt-xcp` verb — pure `plan_adopt` → ordered idempotent `AdoptStep`s (mint static-member token → enroll dom0 as a static Nebula member → register roster row → attach + converge the XAPI toolstack via `xe`/`tofu`) or a retryable `Blocked`; injectable `Adopter` seam (`LiveAdopter` integration-gated, typed `IntegrationGated` errors — never fake success); `--dry-run`. Reuses `invite::resolve_mesh_id` + `ca::bundle` + `peers`. Farm-green (11 tests, clippy-clean). **REMAINING (integration-gated, stays [>]):** the live enroll + xe/tofu drive against a real XCP-ng host (needs live SSH + the xen-xapi provider + host creds — classifier-gated).
575	✓	Completed	**DRAIN-1: cargo-farm-guard — make local builds impossible.** `install-helpers/cargo-farm-guard.sh` installs AS `cargo`; `build/test/check/clippy/run` exit 97 with a farm redirect, `fmt/metadata` pass through. **Acceptance:** a dev-host `cargo build` exits non-zero with the redirect; `xcp-build.sh` (farm) unaffected. *(verified standalone 2026-06-24: build→97.)*
576	✓	Completed	**DRAIN-2: disk-watchdog — auto-heal disk pressure.** `install-helpers/disk-watchdog.sh` reclaims stray `target/` + aged logs when free `<` threshold; **active-safe** (never nukes a live agent's worktree). **Acceptance:** below-threshold free space triggers reclaim; a live agent's worktree survives.
577	✓	Completed	**DRAIN-3: install-drain-guardrails — operator-run activator.** `install-helpers/install-drain-guardrails.sh {--install|--uninstall}` installs the guard + a 5-min watchdog systemd timer; reversible (real toolchain preserved as `cargo-real`). **Operator runs it** (self-installing persistence is not agent-authorized). **Acceptance:** `--install` makes the guard live + the timer active; `--uninstall` restores.
578	✓	Completed	**DRAIN-4: FARM-AUTO reconciler — the no-AI mechanical build half.** A timer reads open units tagged `@farm:{crate,verify}`, builds the slice on the farm, opens a PR, flips the task to needs-review — no AI tokens in the build loop (§10 / build-platform.md). **Acceptance:** an `@farm`-tagged open unit produces a farm-green PR with zero AI tokens spent; red builds raise a triage task.
579	✓	Completed	**DRAIN-5: park-and-continue — never stall on a blocker.** A unit hitting a live-infra/artifact/gate blocker becomes `[!]` + a `docs/NEEDS-OPERATOR.md` entry; the loop continues with the next unblocked unit. **Acceptance:** a blocked unit appears in NEEDS-OPERATOR.md and the loop advances — zero whole-loop stalls attributable to one item. — DONE (2026-06-25): `install-helpers/park-blocker.sh <ID> "<reason>"` flips the first open bullet for `<ID>` to `[!]`, annotates it `_(BLOCKED: … — see NEEDS-OPERATOR.md)_`, surfaces it under "Parked by the drain loop" in `docs/NEEDS-OPERATOR.md`, and exits 0 so the loop continues. Idempotent; word-boundary id match (FAKE-1 ≠ FAKE-10); not-found → exit 1; self-tested green. (The prior NEEDS-OPERATOR "blocked: §C.4 absent" note was itself stale — §C.4 exists — now removed.)
580	✓	Completed	**DRAIN-6: coordinator pattern in /ship.** Encode: pre-flight disk-watchdog → saturate N farm agents (disjoint crates, farm-only) → on each completion merge+reclaim+relaunch (no batch-wait) → park-don't-stall → no-flinch. **Acceptance:** with the loop running, N agents stay in flight until the open+unblocked queue is empty; a completed agent is merged+replaced within one tick. — DONE (2026-06-25): `install-helpers/drain-coordinator.sh {plan|slots|next|preflight}` encodes the tick (preflight `disk-watchdog.sh` → free-slot compute over the REAL `.50/.90/.130` topology, caps 2/2/3 → next N open-unblocked unit ids); the ship skill gained a "coordinator loop (DRAIN-5/6/7)" section wiring drain-coordinator + park-blocker + assert-own-worktree with the rearm-don't-batch-wait + park-don't-stall + no-flinch discipline, and its stale `.50/.51/.52` topology table is corrected to `.50/.90/.130`. `slots` verified live (free 2/1/3 → 6).
581	✓	Completed	**DRAIN-7: worktree-isolation discipline.** A subagent strayed into the shared `calm-ray-dcr8` worktree + its work was wiped (2026-06-24). Agents must operate ONLY in their assigned isolated worktree. **Acceptance:** an agent's STEP-0 verifies it is in its own worktree (not the shared one) and refuses to edit/reset the shared checkout. — DONE (2026-06-25): `install-helpers/assert-own-worktree.sh` is the agent STEP-0 guard — REFUSES (exit 3) the shared `calm-ray-dcr8`/primary checkout, PASSES (exit 0) only from an isolated worktree; `--coordinator` asserts the inverse. Verified: refuse-from-shared, pass-from-isolated (incl. a real `wf_*` worktree), coordinator-from-shared. The ship skill mandates it as every isolated subagent's STEP-0.
585	✓	Completed	**BROKER-RESILIENCE-1: a skipped/unreachable broker is truly non-fatal.** Four-part fix: **(1)** the outbound-publish reqwest client now has a CONNECT (3 s) + overall REQUEST (5 s) timeout via a shared `hooks::publisher::broker_client()` used by both the webhook listener and the `mde-bus publish` CLI, so a publish to a dead broker fails FAST instead of hanging ~60 s. **(2)** when `broker::evaluate_prereqs` returns `Skip`, the daemon binds the webhook listener in a new persist-only mode (`ListenerConfig::persist_only_for_overlay_ip`) — it still ingests + persists + audits but skips the doomed outbound POST entirely (mirrors `--no-broker`), so a known-absent broker drives no outbound retries. **(3)** a conservative per-topic `/run` cap (`TOPIC_RUN_CAP_BYTES` = 8 MiB + 20k-entry backstop) now bounds EVERY non-audit topic to its most-recent window every retention pass (the analogue of the existing `audit/*` cap), so a down broker can never fill the tmpfs. **(4)** verified the sd_notify watchdog ping rides its own 250 ms timer in mackesd, sharing no task with any broker/spool call. **Acceptance:** a publish to a dead broker returns within the timeout (not ~60 s); a skipped-broker daemon persists without retrying outbound; the spool stays bounded under sustained no-broker publishes. *(build + clippy + new tests GREEN on the farm, slot `brokerfix`.)*
586	✓	Completed	**BROKER-RESILIENCE-2 / WATCHDOG-2: the watchdog ping was STILL being starved — real root cause + fix (11.0.11, 2026-06-27).** BR-1 part (4)'s claim ("the ping rides its own 250 ms timer, sharing no task with any broker/spool call → can't be starved") was **false in practice**: both production lighthouses kept watchdog-aborting every ~90 s for ~40 h (lh1 1355 / lh2 1348 `status=6/ABRT`), across 11.0.8→11.0.10, which blocked every enrollment (`:4243` only up between crashes). The ping rode `tokio::time::sleep` **on the runtime**, and on a **1-vCPU droplet** `new_multi_thread` defaults to a SINGLE worker that also owns the **tokio time driver**; when that worker reaches a blocking bridge (`substrate::peers::block_on` → `block_in_place` for an etcd round-trip) the time driver **freezes**, the sleep never fires, and systemd SIGABRTs a healthy daemon. A missing broker reliably triggered it via extra `block_in_place` churn. Fix: **(a)** floor the runtime at 4 worker threads even on 1 vCPU (`bin/mackesd.rs`), so a second worker keeps timers alive while another blocks; **(b)** move the heartbeat to a **dedicated OS thread** gated on an async liveness beacon the serve loop stamps every 250 ms (`sd_notify::watchdog_should_ping`) — kernel-scheduled (unstarvable) yet still reflects true liveness (a genuine wedge stops the beat → ping withheld → systemd restarts). Released as signed **11.0.11** (RSA-4096 d0921c73 verifies on F43) → GitHub Release + gh-pages dnf channel (fedora-43/44). **Acceptance:** lh1/lh2 stop crash-looping after upgrade (NRestarts stops climbing, zero new ABRT, `:4243` stays up) — the live deploy/verify is the remaining step (operator-gated channel `dnf upgrade`). *(farm: 7/7 lib tests incl. new beacon tests, clippy+fmt clean, `cargo check --bin` exit 0.)*
587	✓	Completed	**BROKER-RESILIENCE-3: the broker is now turn-key PRESENT on a fresh lighthouse, not just non-fatal when absent.** BR-1/2 made a missing `ntfy` broker survivable; this makes it actually get installed at provision time. The chain was already wired (RPM vendors the pinned `ntfy_2.24.0` tarball at `/usr/share/magic-mesh/vendor/`; `mesh-install-ntfy` is shipped + bundled-first/offline-capable + idempotent; post_install `enable`s `mesh-broker-setup.service`), but the oneshot is only `enable`d — NOT `--now` (deliberately, so the dnf transaction never blocks on `network-online.target`). So on a freshly provisioned lighthouse that never reboots, there was no broker until the first reboot. Fix: both lighthouse cloud-inits (`do-lighthouse-cloudinit.sh` found-path + `do-lighthouse-join-cloudinit.sh` join-path) now `systemctl start --no-block` the three first-boot fetch oneshots (`mesh-broker-setup` / `mesh-netdata-setup` / `mesh-shell-setup`) after the daemon comes up — post-boot, network up, idempotent, non-stalling. **Acceptance:** a just-provisioned lighthouse has `/usr/bin/ntfy` (and netdata + starship) without a reboot; re-running is a no-op. *(`bash -n` clean on both scripts; pure cloud-init template change, no compile.)*
591	✓	Completed	**11.0.11 WATCHDOG-2** — the watchdog crash-loop (see INCIDENT above).
592	✓	Completed	**11.0.12 LIGHTHOUSE-ENROLL-SELF-CERT** — a joined lighthouse self-generates its `/enroll` endpoint cert at startup (CA key present + cert absent), so `:4243` binds and it can SERVE enrollment, not just sign. Proven: a new node enrolled against nyc3.
593	✓	Completed	**11.0.13 MULTI-LH-IP-ALLOC** — overlay-IP allocation now consults the global etcd directory (`allocate_overlay_ip_excluding`), not just the local cert-store, so a joined lighthouse no longer hands a new node a colliding `.1`. Proven: re-test node via nyc3 got 10.42.0.7 (unique).
595	✓	Completed	**MIG-1: `mackesd remove-peer` must delete the etcd `/mesh/peers/<host>` directory key.** It removes the etcd MEMBER + revokes + bans, but leaves the directory row, so the roster reconcile kept re-adding the dead node until the key was `etcdctl del`'d by hand. Decommission must drop the directory entry too.
596	✓	Completed	**MIG-2: atomic cross-lighthouse overlay-IP allocation.** _(shipped 11.0.14, d6e6f20)_ 11.0.13 reads the directory at sign time (closes the systematic collision), but two lighthouses signing in the SAME instant can still race (the parallel sfo3+fra1 provision hit a `(overlay_ip,epoch)` UNIQUE collision). Make allocation atomic via an etcd CAS/lease, or serialize signing per mesh.
597	✓	Completed	**MIG-3: provision the CA-backup passphrase on a joined lighthouse.** _(DONE, integrated a862854: `cmd_join`'s lighthouse path now calls `provision_ca_backup_passphrase_if_lighthouse` — a new `ca::backup_provision` module mints a fresh 256-bit CSPRNG passphrase, seals it host-bound via `systemd-creds encrypt --with-key=auto` (TPM/host-key, NOT mesh-replicated) to `/etc/mackesd/backup-passphrase.cred` 0600 + writes the `LoadCredentialEncrypted` drop-in, so the upcoming mackesd restart surfaces it at `$CREDENTIALS_DIRECTORY/backup-passphrase` where `nebula_ca_backup` reads → SEC-7/ENT-11 clears. Generated-on-joiner (secret never leaves the box, never logged), idempotent, no-op for Server/Workstation. 8 new tests; mackesd 1239 lib tests green. **Live-boot confirmation of the cleared warning is the remaining check (systemd-creds round-trip only exercises on a real host).** The off-fleet CA backup PUSH stays operator-run (classifier-blocked) — that's the separate DR line below.)_ A joined lighthouse holds the CA key but had no backup passphrase credential → `SEC-7/ENT-11: the CA is UNBACKED-UP` error each boot.
598	✓	Completed	**MIG-4: provision a sequential lighthouse-add (no parallel) or fix MIG-2 first.** _(resolved by MIG-2 — atomic alloc landed, so the sequential-only constraint is lifted)_ `do-lighthouse-join.sh` runs must be sequential until MIG-2 lands (parallel runs collide on IP allocation).
602	✓	Completed	MEDIA-1 role/capability · MEDIA-2 bucket+keys · MEDIA-3 Navidrome Subsonic API · MEDIA-4 bucket mount · MEDIA-5 music.mesh DNS · MEDIA-6 shared account (createAdmin) · 11.0.15 secret CLI.
603	✓	Completed	**MEDIA-10: 2nd Lighthouse_Media node** for active-active redundancy — DONE: LH2 (10.42.0.2) runs Navidrome+music-store on `mcnf-mesh-media`, `music.mesh` round-robins LH1+LH2, kill-one resilience proven 2026-07-01 (see the MEDIA-10 acceptance entry below).
604	!	Blocked	**MEDIA-9: content upload** — the bucket is empty; the operator uploads music (rclone to `mcnf-media-4533`), then a Navidrome rescan surfaces it.
605	✓	Completed	**MEDIA-pkg: ship `setup-media-navidrome.sh` in the RPM** — added to BOTH RPM asset arrays (full + headless `magic-mesh-server`) → `/usr/libexec/mackesd/setup-media-navidrome` (755); it self-installs rclone/podman/fuse3 at run, so the add-Media flow is turn-key (was scp'd by hand).
606	✓	Completed	**MEDIA-pkg-2: `mackesd` Navidrome supervisor worker** — `navidrome_supervisor` (Media-gated): each 30s tick adopts `mcnf-navidrome.service` — restart-if-down (past systemd's own), re-provision-if-missing via the RPM-shipped `setup-media-navidrome` when creds present, else log needs-setup. Pure `decide()` core unit-tested; farm lib-test + bin compile green.
607	✓	Completed	**MEDIA-pkg-3: deterministic `music-writer.mesh` alias.** DONE 2026-07-06. The media verifier exposed that `music-writer.mesh` was documented for playlist writes but `mesh_dns` only emitted the active-active `music.mesh` record set. `mesh_dns` now derives a single `music-writer.mesh` record from the same media-lighthouse directory snapshot, choosing the lowest overlay IPv4 address deterministically, while `music.mesh` remains the two-node read/browse set. Farm evidence: `./install-helpers/xcp-build.sh cargo test -p mackesd mesh_dns` (18 passed). Live evidence after rebuilding and force-replacing the same-NEVRA `magic-mesh-12.0.0-1` on Eagle + both DO lighthouses: `automation/promotion/mcnf-promotion-cycle.sh media-verify` passed (`music.mesh=2`, `music-writer.mesh=1`, Subsonic ping ok), and `media-verify --mutate-playlist` passed the create/read/delete temporary playlist proof.
608	✗	Superseded/Obsolete	**MIG-3 / DR shared-passphrase + off-fleet CA backup** → `mcnf-dr-4533` bucket is provisioned and ready; wire the DATACENTER-23 age-push + leader-managed backup passphrase to it (this also satisfies MIG-3).
612	✓	Completed	**SVC-VIEW (#6)** — unified "All Services" Workbench panel (published ∪ probed ∪ VM-internal), source-tagged + deduped; 13 tests, farm-green (`2431b54`).
613	✓	Completed	**BUILD-PLATFORM / test-mesh (#3)** — the nightly L1/L2/L3 pyramid is ENABLED on the control host (`mcnf-nightly-tests.timer`, next 02:39 nightly) + a verification run is executing; harness viable (MDE-VM-golden template present on both dom0s); results publish to `event/test/nightly`.
614	✓	Completed	**MEDIA (#2)** — live on one node (above). Tail: 2nd node (redundancy) + operator music upload.
615	~	Blocked	**DR (#4)** — off-fleet push + CA backup CODE done (`1b70f99`); **execution is operator-run** — the safety classifier HARD-blocks an agent exporting the CA key + secrets off-fleet (data-exfiltration; not clearable by authorization). Run: `MCNF_DR_REMOTE=mcnf-spaces:mcnf-dr-4533 bash automation/dr/dr-backup.sh` on a CA holder.
616	✓	Completed	**UniFi (#5)** — cred sealed this session (`unifi-cred` = ubnt) + `MCNF_UNIFI_HOST` drop-in committed (c1454cb); only the host-drop-in install on the LAN datacenter node remains. Generalized into the ROUTER-CONTROL epic (per-node, Vyatta-CLI).
617	✓	Completed	**MIG-1/2** shipped (11.0.14); MIG-3 folds into DR above.
621	✓	Completed	**FA-1: tofu shape model.** **As** the farm, **I want** a per-dom0 `shape` var (`big`/`small`/`off`) + `small_count` driving `infra/tofu/build-vms.tf`, **so that** `tofu apply` provisions one hardware-maxing big VM, N standard small VMs, or nothing. **Acceptance:** `shape=big` on BigBoy provisions ~10vCPU/26GiB `mcnf-build-big-52`; `shape=small,count=2` provisions 2 standard VMs; `shape=off` destroys them (scale-to-zero); idempotent re-apply.
622	✓	Completed	**FA-2: golden `clean` snapshot + fast reset.** **As** the autoscaler, **I want** each toolchained build VM to carry a post-toolchain `clean` snapshot and a `farm-vm reset <vm>` that `xe snapshot-revert`s it, **so that** inter-job state returns to baseline without a full re-clone. **Acceptance:** a build dirties the VM, `reset` reverts to clean (toolchain + sccache priming intact, job state gone), verified on a reset drill.
623	✓	Completed	**FA-3: the farm-autoscaler reconcile step (no AI).** **As** the FARM-AUTO reconciler, **I want** a step that reads the `@farm` queue, classifies each pending job big/small, computes the desired per-dom0 shape, writes the tofu vars, and `tofu apply`s — scaling to zero when idle, **so that** the farm matches demand with zero AI tokens. **Acceptance:** a queued whole-workspace build → big VM provisioned + the build runs + scaled down after; many per-crate jobs → small×N provisioned + run in parallel + scaled to zero; no AI tokens spent.
624	✓	Completed	**FA-4: mutual-exclusion drain/preempt + hysteresis.** **As** a dom0, **I want** to run EITHER big OR small (never both), switching only after draining current jobs, with a min-dwell debounce, **so that** shape changes don't thrash against tofu's ~minutes apply latency. **Acceptance:** a big job queued while smalls run → smalls drain, then destroy+provision big; a dom0 never hosts big+small simultaneously; no flip within the dwell window.
625	✓	Completed	**FA-5: POD-level scaling.** **As** the autoscaler, **I want** to cap agent/build podman pods per VM to its vCPU/RAM budget and fold pod demand into the shape choice, **so that** many queued agent pods provision small×N rather than starving one big VM. **Acceptance:** pod count per VM never exceeds its core budget; a pod-heavy queue biases the dom0 toward the small shape.
626	✓	Completed	**FA-6: route builds/agents by shape.** **As** a build job, **I want** `xcp-build.sh` + the drain coordinator to target the autoscaler-provisioned VM matching my shape (big→BigBoy's big VM, small→the small pool), **so that** jobs land on the right elastic resource. **Acceptance:** a whole-workspace build routes to the big VM; per-crate builds spread across the small pool; routing degrades to BigBoy if the autoscaler is paused.
627	✓	Completed	**FA-7: lifecycle observability.** **As** an operator, **I want** the autoscaler to log every create/destroy + publish the live farm topology (per-dom0 shape + utilization) to a CLI/Workbench surface, **so that** on-demand use is auditable. **Acceptance:** each scale event is logged with the reason; `farm topology` (CLI + panel) shows current shapes, running VMs, and per-dom0 utilization.
637	✓	Completed	**EFF-1 · SEC · FileXfer Send-To path traversal (target).** `ipc/files.rs:265` joins the `peer:<target>` selector raw into `inbox_root(target)` — `peer:../../etc` escapes the QNM root (`create_dir_all` + write anywhere mackesd can). Reject `target` with `/`,`..`,`\0`,non-`[A-Za-z0-9._-]`; assert the resolved dest is under `<qnm>/inbox/`. *(Regression from AUD-1 this session.)*
638	✓	Completed	**EFF-2 · SEC · FileXfer Send-To arbitrary-file read (sources).** `ipc/files.rs:290` copies caller-supplied absolute `sources` verbatim → a Bus writer can exfil `/etc/shadow`/keys into a peer's replicated inbox. Confine sources to an allowlisted root (operator home / declared share); refuse symlinks + paths outside it. — DONE: `FileXfer` gained a `share_root` (defaults to the operator home, canonicalized; `with_share_root` override). `allowed_source()` canonicalizes each source (resolving symlinks + `..`), requires a regular file, and refuses anything not `starts_with(share_root)` — refused sources are skipped + warn-logged + counted in the reply's `refused` field. Two regression tests: a source outside the root is refused while an in-root one delivers, and a symlink-under-root → outside is refused.
639	✓	Completed	**EFF-3 · SEC · FileXfer rollback path traversal.** `ipc/files.rs:338` removes files from `inbox_root(target).join(host).join(f)` off forgeable outbox rows. Same target/basename validation + canonicalize-and-contain before `remove_file`.
640	✓	Completed	**EFF-4 · REL · Supervisor doesn't restart on worker PANIC.** `workers/mod.rs:481` matches only `Ok/Err`; a panicking `run()` becomes a logged `JoinError`, never restarted. Wrap each `worker.run()` so a panic → restartable `Err` (feed the back-off/breaker).
641	✓	Completed	**EFF-5 · REL · Worker-loop `Mutex.lock().expect()` poisons → permanently kills the worker** (compute_expose/firewall_monitor/compute_registry/peer_join). With EFF-4 this silently downs workers. Use poison-tolerant locks (`PoisonError::into_inner`) or `parking_lot`.
642	✓	Completed	**EFF-6 · REL · `mackesd healthz` GUI refresh has no timeout** (`panels/mesh_control.rs:606`) — a hung daemon spins the panel forever. Run with a timeout wrapper + render "healthz timed out".
643	✓	Completed	**EFF-7 · REL · Bus responder threads have no restart + reply closures no `catch_unwind`** (`bin/mackesd.rs:6146`, `ipc/files.rs:64`) — one panicking request downs Fleet.Files/Settings/file surfaces for the session. Wrap reply dispatch in `catch_unwind` → `err()` body.
644	✓	Completed	**EFF-8 · OPS · `healthz` returns a hardcoded `HealthReport::empty()`** (`bin/mackesd.rs:1500`, `ipc/shell.rs:102`) — never live state (leader/node-count/applied-revision all unset). Populate from the store via one shared fn used by CLI + IPC. *(Highest-value ops gap.)* — DONE: `HealthReport::from_store(conn)` populates real node_count + healthy/degraded/unreachable buckets + audit_chain_intact (Break→false, Empty/Intact→true); wired into CLI `Cmd::Healthz` + `ShellService::build_healthz` (both open the store per call, fall back to `empty()` if no store). Remainder: `is_leader`/`applied_revision` stay defaulted pending leader-lease + applied-revision query plumbing.
645	✓	Completed	**EFF-9 · OPS · Prometheus textfile exporter built but never written.** `metrics::write_textfile` has zero callers. Add a periodic worker snapshotting control-plane counters (revisions, drift, reconcile failures, breaker trips, peer health, cert-days). — DONE: new `metrics_exporter` worker (Lighthouse-tier, 30s cadence) snapshots store-derivable gauges (mesh node-health buckets, audit-chain-intact, applied-migration count) via `snapshot_counters(conn)` reusing `HealthReport::from_store` (single source of truth with healthz), atomically writes `<textfile_collector>/mackesd.prom`. Remainder (follow-ups appending to the same file): runtime in-process counters (drift/reconcile-failures/breaker-trips) need a shared process registry the workers increment; cert days-remaining is EFF-11.
646	✓	Completed	**EFF-10 · OPS · Structured-logging plane logs human text, not the documented JSON.** `bin/mackesd.rs:1469` uses `fmt()` not `.json()`; `LogContext`/correlation-id unused. Switch the subscriber to JSON (env/flag-gated for TTY) + a span layer for the fields.
647	✓	Completed	**EFF-11 · OPS · No certificate-expiry monitoring/alert.** Certs store `expire_at` but nothing computes days-remaining; a ≤8 mesh silently loses every cert at turnover. Add a periodic check → `healthz`/metrics/alert under a threshold. — DONE: new `ca::expiry` module probes the **CA cert** (the real cliff — peer certs are epoch-lifetime sentinel `0` by design, so per-peer expiry was a non-target) via `nebula-cert print -json` → `details.notAfter` → days-remaining (pure `parse_not_after_unix` is unit-tested). Wired into the `metrics_exporter` worker: each tick emits `mackesd_ca_cert_days_remaining` (clamped ≥0) + `mackesd_ca_cert_expiry_warning` (1 at/under the 30-day threshold) and logs a warn under threshold (the alert). Remainder: surfacing days-remaining on `healthz`/HealthReport would need `from_store` to take the CA path + run the subprocess (it's store-only today) — Prometheus alert-rule on the metric covers the operational need; the healthz field is a thin follow-up.
648	✓	Completed	**EFF-12 · OPS · systemd units have no sandboxing.** `packaging/systemd/*.service` set only `NoNewPrivileges`. Add `ProtectSystem=strict`, `ProtectHome`, `PrivateTmp`, `ReadWritePaths`/`StateDirectory`, `RestrictAddressFamilies`, `MemoryMax`/`CPUQuota`, `LockPersonality`.
649	✓	Completed	**EFF-13 · PKG · RPM license contradicts the workspace license + copyleft deps.** generate-rpm `license = "proprietary"` vs workspace `GPL-3.0-or-later` + MPL/GPL pop-os deps. Reconcile the license string; add root `LICENSE`/`COPYING` + a `NOTICE` for bundled deps.
650	✓	Completed	**EFF-14 · PKG · No RPM scriptlets** — daemon never enabled, no `systemctl daemon-reload`, no icon/desktop cache, no `/etc/mackesd` dir. Add `post_install`/`preun`/`post_uninstall` (daemon-reload + role-policy enable + `gtk-update-icon-cache` + `update-desktop-database`).
